mandante,visitante,placar
Ceará,Cruzeiro,
América-MG,Atlético-PR,
Bahia,Grêmio,	
Flamengo,Corinthians,
Santos,Vitória,
Palmeiras,São Paulo,
Vasco,Botafogo,
Atlético-MG,Chapecoense,
Internacional,Sport Recife,
Paraná,Fluminense,
