,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
46,brasileiro-a,2017,26,01-10,São Paulo,Sport Recife,1,0,MANDANTE,14.0,17.0,0.07,0.4,0.2,0.43
47,brasileiro-a,2017,26,30-09,Palmeiras,Santos,0,1,VISITANTE,4.0,2.0,0.53,0.67,0.57,0.67
48,brasileiro-a,2017,26,30-09,Bahia,Coritiba,1,1,EMPATE,13.0,19.0,0.13,0.47,0.27,0.37
49,brasileiro-a,2017,26,30-09,Vasco,Chapecoense,1,1,EMPATE,10.0,12.0,0.6,0.47,0.43,0.4
50,brasileiro-a,2017,25,25-09,Sport Recife,Vasco,1,1,EMPATE,14.0,9.0,0.47,0.07,0.37,0.27
51,brasileiro-a,2017,25,24-09,Atlético-MG,Vitória,1,3,VISITANTE,11.0,16.0,0.47,0.53,0.47,0.37
52,brasileiro-a,2017,25,24-09,Bahia,Grêmio,1,0,MANDANTE,13.0,3.0,0.27,0.27,0.5,0.37
53,brasileiro-a,2017,25,24-09,Atlético-GO,Cruzeiro,1,2,VISITANTE,20.0,5.0,0.67,0.67,0.53,0.47
54,brasileiro-a,2017,25,24-09,Chapecoense,Ponte Preta,1,0,MANDANTE,10.0,18.0,0.33,0.4,0.43,0.33
55,brasileiro-a,2017,25,24-09,Coritiba,Botafogo,2,3,VISITANTE,19.0,6.0,0.8,0.13,0.5,0.27
56,brasileiro-a,2017,25,24-09,Fluminense,Palmeiras,0,1,VISITANTE,12.0,4.0,0.53,0.33,0.6,0.37
57,brasileiro-a,2017,25,24-09,São Paulo,Corinthians,1,1,EMPATE,17.0,1.0,0.4,0.53,0.57,0.5
58,brasileiro-a,2017,25,23-09,Santos,Atlético-PR,1,0,MANDANTE,2.0,8.0,0.53,0.4,0.6,0.57
59,brasileiro-a,2017,25,23-09,Flamengo,Avaí,1,1,EMPATE,7.0,15.0,0.73,0.6,0.53,0.47
60,brasileiro-a,2017,24,18-09,Palmeiras,Coritiba,1,0,MANDANTE,4.0,18.0,0.33,0.33,0.27,0.6
61,brasileiro-a,2017,24,17-09,Cruzeiro,Bahia,1,0,MANDANTE,6.0,16.0,0.47,0.53,0.4,0.47
62,brasileiro-a,2017,24,17-09,Atlético-PR,Fluminense,3,1,MANDANTE,8.0,11.0,0.53,0.53,0.47,0.53
63,brasileiro-a,2017,24,17-09,Corinthians,Vasco,1,0,MANDANTE,1.0,9.0,0.53,0.4,0.4,0.5
64,brasileiro-a,2017,24,17-09,Flamengo,Sport Recife,2,0,MANDANTE,5.0,12.0,0.07,0.4,0.27,0.4
65,brasileiro-a,2017,24,17-09,Grêmio,Chapecoense,0,1,VISITANTE,2.0,14.0,0.2,0.47,0.33,0.6
66,brasileiro-a,2017,24,17-09,Vitória,São Paulo,1,2,VISITANTE,19.0,17.0,0.33,0.67,0.4,0.47
67,brasileiro-a,2017,24,17-09,Avaí,Atlético-MG,1,1,EMPATE,13.0,10.0,0.47,0.73,0.43,0.53
68,brasileiro-a,2017,24,16-09,Ponte Preta,Atlético-GO,1,3,VISITANTE,15.0,20.0,0.47,0.4,0.37,0.43
69,brasileiro-a,2017,24,16-09,Botafogo,Santos,2,0,MANDANTE,7.0,3.0,0.47,0.67,0.6,0.5
70,brasileiro-a,2017,23,11-09,Atlético-GO,Bahia,1,1,EMPATE,20.0,15.0,0.47,0.4,0.47,0.37
71,brasileiro-a,2017,23,10-09,Botafogo,Flamengo,2,0,MANDANTE,7.0,5.0,0.4,0.47,0.4,0.5
72,brasileiro-a,2017,23,10-09,Chapecoense,Cruzeiro,1,2,VISITANTE,18.0,6.0,0.53,0.27,0.47,0.33
73,brasileiro-a,2017,23,10-09,Santos,Corinthians,2,0,MANDANTE,3.0,1.0,0.6,0.47,0.6,0.6
74,brasileiro-a,2017,23,10-09,Sport Recife,Avaí,0,1,VISITANTE,12.0,14.0,0.53,0.13,0.43,0.37
75,brasileiro-a,2017,23,10-09,Vitória,Fluminense,2,2,EMPATE,17.0,10.0,0.53,0.8,0.43,0.43
76,brasileiro-a,2017,23,10-09,Atlético-PR,Coritiba,1,1,EMPATE,9.0,16.0,0.47,0.67,0.33,0.5
77,brasileiro-a,2017,23,09-09,São Paulo,Ponte Preta,2,2,EMPATE,19.0,13.0,0.33,0.27,0.4,0.4
78,brasileiro-a,2017,23,09-09,Vasco,Grêmio,1,0,MANDANTE,8.0,2.0,0.67,0.33,0.7,0.4
79,brasileiro-a,2017,23,09-09,Atlético-MG,Palmeiras,1,1,EMPATE,11.0,4.0,0.47,0.4,0.57,0.4
80,brasileiro-a,2017,22,02-09,Grêmio,Sport Recife,5,0,MANDANTE,2.0,11.0,0.33,0.53,0.47,0.6
81,brasileiro-a,2017,22,28-08,Coritiba,Vitória,0,1,VISITANTE,15.0,16.0,0.67,0.47,0.43,0.33
82,brasileiro-a,2017,22,27-08,Avaí,Chapecoense,1,0,MANDANTE,18.0,17.0,0.27,0.33,0.37,0.43
83,brasileiro-a,2017,22,27-08,Cruzeiro,Santos,1,1,EMPATE,6.0,3.0,0.47,0.53,0.67,0.53
84,brasileiro-a,2017,22,27-08,Bahia,Botafogo,1,2,VISITANTE,14.0,7.0,0.27,0.47,0.43,0.5
85,brasileiro-a,2017,22,27-08,Flamengo,Atlético-PR,2,0,MANDANTE,5.0,8.0,0.87,0.27,0.53,0.4
86,brasileiro-a,2017,22,27-08,Palmeiras,São Paulo,4,2,MANDANTE,4.0,19.0,0.47,0.47,0.4,0.47
87,brasileiro-a,2017,22,27-08,Ponte Preta,Atlético-MG,1,2,VISITANTE,13.0,10.0,0.4,0.4,0.33,0.4
88,brasileiro-a,2017,22,26-08,Corinthians,Atlético-GO,0,1,VISITANTE,1.0,20.0,0.4,0.67,0.27,0.7
89,brasileiro-a,2017,22,26-08,Fluminense,Vasco,0,1,VISITANTE,9.0,12.0,0.13,0.6,0.3,0.47
90,brasileiro-a,2017,20,23-08,Chapecoense,Corinthians,0,1,VISITANTE,17.0,1.0,0.73,0.27,0.8,0.3
91,brasileiro-a,2017,21,21-08,Fluminense,Atlético-MG,2,1,MANDANTE,8.0,13.0,0.4,0.4,0.43,0.4
92,brasileiro-a,2017,21,20-08,Coritiba,Santos,0,0,EMPATE,14.0,3.0,0.6,0.4,0.67,0.33
93,brasileiro-a,2017,21,20-08,Palmeiras,Chapecoense,0,2,VISITANTE,4.0,15.0,0.27,0.67,0.3,0.57
94,brasileiro-a,2017,21,20-08,Avaí,São Paulo,1,1,EMPATE,19.0,17.0,0.47,0.47,0.37,0.43
95,brasileiro-a,2017,21,20-08,Bahia,Vasco,3,0,MANDANTE,12.0,16.0,0.33,0.27,0.33,0.43
