mandante,visitante,placar
São Paulo,Internacional,
Botafogo,Ceará,
Vitória,Chapecoense,
Corinthians,Santos,
Sport Recife,Atlético-PR,
Cruzeiro,Vasco,
Grêmio,Palmeiras,
Fluminense,Flamengo,
Paraná,Bahia,
América-MG,Atlético-MG,
