mandante,visitante,placar
Internacional,Chapecoense,
Fluminense,Atlético-PR,
América-MG,Botafogo,
Paraná,Grêmio,	
São Paulo,Santos,
Sport Recife,Corinthians,
Vitória,Ceará,
Palmeiras,Bahia,
Flamengo,Vasco,
Atlético-MG,Cruzeiro,
