,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
0,0,brasileiro-a,2018,8,31-05,Atlético-PR,Santos,2,0,MANDANTE,13.0,18.0,0.2,0.13,0.17,0.17
1,1,brasileiro-a,2018,8,31-05,Corinthians,América-MG,1,0,MANDANTE,3.0,12.0,0.47,0.33,0.39,0.44
2,2,brasileiro-a,2018,8,31-05,Flamengo,Bahia,2,0,MANDANTE,1.0,17.0,0.33,0.67,0.44,0.72
3,3,brasileiro-a,2018,8,30-05,Cruzeiro,Palmeiras,1,0,MANDANTE,6.0,9.0,0.47,0.67,0.56,0.56
4,4,brasileiro-a,2018,8,30-05,Grêmio,Fluminense,0,0,EMPATE,8.0,4.0,0.67,0.53,0.72,0.5
5,5,brasileiro-a,2018,8,30-05,Chapecoense,Ceará,2,0,MANDANTE,15.0,19.0,0.13,0.33,0.17,0.33
6,6,brasileiro-a,2018,8,30-05,São Paulo,Botafogo,3,2,MANDANTE,2.0,14.0,0.47,0.6,0.44,0.56
7,7,brasileiro-a,2018,8,30-05,Sport Recife,Atlético-MG,3,2,MANDANTE,5.0,7.0,0.67,0.67,0.72,0.61
8,8,brasileiro-a,2018,8,30-05,Vasco,Paraná,1,0,MANDANTE,10.0,20.0,0.2,0.27,0.17,0.28
9,9,brasileiro-a,2018,8,30-05,Vitória,Internacional,2,3,VISITANTE,16.0,11.0,0.33,0.47,0.28,0.39
10,10,brasileiro-a,2018,7,26-05,Atlético-MG,Flamengo,0,1,VISITANTE,3.0,1.0,0.67,0.87,0.67,0.87
11,11,brasileiro-a,2018,7,26-05,Palmeiras,Sport Recife,2,3,VISITANTE,7.0,8.0,0.53,0.67,0.53,0.67
12,12,brasileiro-a,2018,7,26-05,Fluminense,Chapecoense,3,1,MANDANTE,2.0,18.0,0.4,0.67,0.4,0.67
13,13,brasileiro-a,2018,7,27-05,Paraná,Atlético-PR,0,0,EMPATE,20.0,17.0,0.13,0.13,0.13,0.13
14,14,brasileiro-a,2018,7,27-05,Bahia,Vasco,3,0,MANDANTE,15.0,12.0,0.33,0.33,0.33,0.33
15,15,brasileiro-a,2018,7,27-05,Botafogo,Vitória,1,1,EMPATE,11.0,14.0,0.4,0.47,0.4,0.47
16,16,brasileiro-a,2018,7,27-05,Internacional,Corinthians,2,1,MANDANTE,13.0,6.0,0.53,0.13,0.53,0.13
17,17,brasileiro-a,2018,7,27-05,Santos,Cruzeiro,0,1,VISITANTE,16.0,9.0,0.47,0.2,0.47,0.2
18,18,brasileiro-a,2018,7,27-05,América-MG,São Paulo,1,3,VISITANTE,10.0,4.0,0.47,0.47,0.47,0.47
