,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
2579,brasileiro-a,2011,15,06-08,Atlético-MG,Figueirense,1,2,VISITANTE,16.0,8.0,0.33,0.27,0.4,0.27
2580,brasileiro-a,2011,15,06-08,Flamengo,Coritiba,1,0,MANDANTE,2.0,10.0,0.53,0.73,0.5,0.8
2581,brasileiro-a,2011,15,06-08,Palmeiras,Grêmio,0,0,EMPATE,5.0,15.0,0.4,0.53,0.37,0.6
2582,brasileiro-a,2011,14,04-08,Atlético-GO,Atlético-PR,0,3,VISITANTE,17.0,19.0,0.47,0.33,0.27,0.33
2583,brasileiro-a,2011,14,04-08,Fluminense,Internacional,2,0,MANDANTE,7.0,8.0,0.27,0.4,0.5,0.4
2584,brasileiro-a,2011,14,04-08,São Paulo,Bahia,3,0,MANDANTE,3.0,16.0,0.4,0.67,0.47,0.53
2585,brasileiro-a,2011,14,03-08,Coritiba,Palmeiras,1,1,EMPATE,10.0,5.0,0.67,0.47,0.6,0.47
2586,brasileiro-a,2011,14,03-08,Cruzeiro,Flamengo,0,1,VISITANTE,11.0,2.0,0.73,0.4,0.73,0.57
2587,brasileiro-a,2011,14,03-08,Vasco,Santos,2,0,MANDANTE,4.0,14.0,0.2,0.87,0.37,0.6
2588,brasileiro-a,2011,14,03-08,Ceará,Avaí,0,3,VISITANTE,12.0,18.0,0.47,0.53,0.33,0.47
2589,brasileiro-a,2011,14,03-08,Corinthians,América-MG,2,1,MANDANTE,1.0,20.0,0.13,0.6,0.17,0.73
2590,brasileiro-a,2011,14,03-08,Figueirense,Botafogo,2,0,MANDANTE,9.0,6.0,0.47,0.2,0.6,0.33
2591,brasileiro-a,2011,14,03-08,Grêmio,Atlético-MG,2,2,EMPATE,13.0,15.0,0.4,0.53,0.27,0.33
2592,brasileiro-a,2011,13,31-07,América-MG,Coritiba,1,3,VISITANTE,20.0,11.0,0.47,0.2,0.47,0.17
2593,brasileiro-a,2011,13,31-07,Atlético-PR,Santos,3,2,MANDANTE,19.0,14.0,0.4,0.27,0.47,0.17
2594,brasileiro-a,2011,13,31-07,Bahia,Figueirense,3,1,MANDANTE,15.0,13.0,0.2,0.27,0.43,0.37
2595,brasileiro-a,2011,13,31-07,Avaí,Corinthians,3,2,MANDANTE,18.0,1.0,0.8,0.33,0.77,0.23
2596,brasileiro-a,2011,13,31-07,Fluminense,Ceará,4,0,MANDANTE,8.0,10.0,0.73,0.2,0.5,0.4
2597,brasileiro-a,2011,13,31-07,Internacional,Atlético-GO,0,0,EMPATE,7.0,17.0,0.33,0.4,0.3,0.57
2598,brasileiro-a,2011,13,31-07,São Paulo,Vasco,0,2,VISITANTE,3.0,5.0,0.67,0.67,0.5,0.63
2599,brasileiro-a,2011,13,30-07,Palmeiras,Atlético-MG,3,2,MANDANTE,4.0,16.0,0.4,0.53,0.27,0.6
2600,brasileiro-a,2011,13,30-07,Cruzeiro,Botafogo,0,1,VISITANTE,9.0,6.0,0.33,0.6,0.53,0.57
2601,brasileiro-a,2011,13,30-07,Flamengo,Grêmio,2,0,MANDANTE,2.0,12.0,0.53,0.73,0.43,0.67
2602,brasileiro-a,2011,12,28-07,Ceará,Atlético-PR,2,1,MANDANTE,9.0,20.0,0.27,0.53,0.17,0.5
2603,brasileiro-a,2011,12,28-07,Vasco,Bahia,1,1,EMPATE,5.0,17.0,0.2,0.6,0.37,0.57
2604,brasileiro-a,2011,12,27-07,Coritiba,São Paulo,3,4,VISITANTE,14.0,2.0,0.47,0.67,0.63,0.47
2605,brasileiro-a,2011,12,27-07,Figueirense,Palmeiras,0,1,VISITANTE,11.0,4.0,0.53,0.4,0.53,0.43
2606,brasileiro-a,2011,12,27-07,Santos,Flamengo,4,5,VISITANTE,13.0,3.0,0.73,0.4,0.6,0.47
2607,brasileiro-a,2011,12,27-07,Atlético-GO,Cruzeiro,2,0,MANDANTE,16.0,8.0,0.8,0.13,0.6,0.2
2608,brasileiro-a,2011,12,27-07,Atlético-MG,Fluminense,1,0,MANDANTE,15.0,12.0,0.4,0.2,0.5,0.27
2609,brasileiro-a,2011,12,27-07,Botafogo,Avaí,2,1,MANDANTE,6.0,19.0,0.4,0.33,0.23,0.53
2610,brasileiro-a,2011,12,27-07,Grêmio,América-MG,1,1,EMPATE,10.0,18.0,0.13,0.53,0.13,0.5
2611,brasileiro-a,2011,11,24-07,Atlético-MG,Vasco,1,2,VISITANTE,15.0,4.0,0.6,0.2,0.52,0.3
2612,brasileiro-a,2011,11,24-07,Bahia,Coritiba,0,0,EMPATE,16.0,14.0,0.6,0.33,0.48,0.37
2613,brasileiro-a,2011,11,24-07,Corinthians,Cruzeiro,0,1,VISITANTE,1.0,7.0,0.8,1.0,0.56,0.85
2614,brasileiro-a,2011,11,24-07,Fluminense,Palmeiras,1,0,MANDANTE,10.0,5.0,0.53,0.4,0.59,0.44
