mandante,visitante,placar
Fluminense,Chapecoense,
Palmeiras,Sport Recife,
Atlético-MG,Flamengo,
Paraná,Atlético-PR,
Bahia,Vasco,
Botafogo,Vitória,
Internacional,Corinthians,
Santos,Cruzeiro,
América-MG,São Paulo,
Ceará,Grêmio,
