,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
74,brasileiro-a,2017,23,10-09,Sport Recife,Avaí,0,1,VISITANTE
75,brasileiro-a,2017,23,10-09,Vitória,Fluminense,2,2,EMPATE
76,brasileiro-a,2017,23,10-09,Atlético-PR,Coritiba,1,1,EMPATE
77,brasileiro-a,2017,23,09-09,São Paulo,Ponte Preta,2,2,EMPATE
78,brasileiro-a,2017,23,09-09,Vasco,Grêmio,1,0,MANDANTE
79,brasileiro-a,2017,23,09-09,Atlético-MG,Palmeiras,1,1,EMPATE
80,brasileiro-a,2017,22,02-09,Grêmio,Sport Recife,5,0,MANDANTE
81,brasileiro-a,2017,22,28-08,Coritiba,Vitória,0,1,VISITANTE
82,brasileiro-a,2017,22,27-08,Avaí,Chapecoense,1,0,MANDANTE
83,brasileiro-a,2017,22,27-08,Cruzeiro,Santos,1,1,EMPATE
84,brasileiro-a,2017,22,27-08,Bahia,Botafogo,1,2,VISITANTE
85,brasileiro-a,2017,22,27-08,Flamengo,Atlético-PR,2,0,MANDANTE
86,brasileiro-a,2017,22,27-08,Palmeiras,São Paulo,4,2,MANDANTE
87,brasileiro-a,2017,22,27-08,Ponte Preta,Atlético-MG,1,2,VISITANTE
88,brasileiro-a,2017,22,26-08,Corinthians,Atlético-GO,0,1,VISITANTE
89,brasileiro-a,2017,22,26-08,Fluminense,Vasco,0,1,VISITANTE
90,brasileiro-a,2017,20,23-08,Chapecoense,Corinthians,0,1,VISITANTE
91,brasileiro-a,2017,21,21-08,Fluminense,Atlético-MG,2,1,MANDANTE
92,brasileiro-a,2017,21,20-08,Coritiba,Santos,0,0,EMPATE
93,brasileiro-a,2017,21,20-08,Palmeiras,Chapecoense,0,2,VISITANTE
94,brasileiro-a,2017,21,20-08,Avaí,São Paulo,1,1,EMPATE
95,brasileiro-a,2017,21,20-08,Bahia,Vasco,3,0,MANDANTE
96,brasileiro-a,2017,21,20-08,Cruzeiro,Sport Recife,2,0,MANDANTE
97,brasileiro-a,2017,21,20-08,Ponte Preta,Botafogo,2,1,MANDANTE
98,brasileiro-a,2017,21,20-08,Grêmio,Atlético-PR,0,0,EMPATE
99,brasileiro-a,2017,21,19-08,Flamengo,Atlético-GO,2,0,MANDANTE
100,brasileiro-a,2017,21,19-08,Corinthians,Vitória,0,1,VISITANTE
101,brasileiro-a,2017,20,14-08,Santos,Fluminense,0,0,EMPATE
102,brasileiro-a,2017,20,13-08,Atlético-PR,Bahia,4,1,MANDANTE
103,brasileiro-a,2017,20,13-08,Botafogo,Grêmio,1,0,MANDANTE
104,brasileiro-a,2017,20,13-08,Atlético-MG,Flamengo,2,0,MANDANTE
105,brasileiro-a,2017,20,13-08,Sport Recife,Ponte Preta,0,0,EMPATE
106,brasileiro-a,2017,20,13-08,Vasco,Palmeiras,1,1,EMPATE
107,brasileiro-a,2017,20,13-08,São Paulo,Cruzeiro,3,2,MANDANTE
108,brasileiro-a,2017,20,12-08,Vitória,Avaí,0,1,VISITANTE
