,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado
75,brasileiro-a,2018,1,14-04,Santos,Ceará,2,0,MANDANTE
76,brasileiro-a,2018,1,14-04,Vitória,Flamengo,2,2,EMPATE
77,brasileiro-a,2018,1,14-04,Cruzeiro,Grêmio,0,1,VISITANTE
78,brasileiro-a,2017,38,03-12,Atlético-GO,Fluminense,1,1,EMPATE
79,brasileiro-a,2017,38,03-12,Atlético-MG,Grêmio,4,3,MANDANTE
80,brasileiro-a,2017,38,03-12,Atlético-PR,Palmeiras,3,0,MANDANTE
81,brasileiro-a,2017,38,03-12,Botafogo,Cruzeiro,2,2,EMPATE
82,brasileiro-a,2017,38,03-12,Chapecoense,Coritiba,2,1,MANDANTE
83,brasileiro-a,2017,38,03-12,Santos,Avaí,1,1,EMPATE
84,brasileiro-a,2017,38,03-12,São Paulo,Bahia,1,1,EMPATE
85,brasileiro-a,2017,38,03-12,Sport Recife,Corinthians,1,0,MANDANTE
86,brasileiro-a,2017,38,03-12,Vasco,Ponte Preta,2,1,MANDANTE
87,brasileiro-a,2017,38,03-12,Vitória,Flamengo,1,2,VISITANTE
88,brasileiro-a,2017,37,27-11,Palmeiras,Botafogo,2,0,MANDANTE
89,brasileiro-a,2017,37,26-11,Bahia,Chapecoense,0,1,VISITANTE
90,brasileiro-a,2017,37,26-11,Flamengo,Santos,1,2,VISITANTE
91,brasileiro-a,2017,37,26-11,Avaí,Atlético-PR,1,0,MANDANTE
92,brasileiro-a,2017,37,26-11,Corinthians,Atlético-MG,2,2,EMPATE
93,brasileiro-a,2017,37,26-11,Coritiba,São Paulo,1,2,VISITANTE
94,brasileiro-a,2017,37,26-11,Cruzeiro,Vasco,0,1,VISITANTE
95,brasileiro-a,2017,37,26-11,Grêmio,Atlético-GO,1,1,EMPATE
96,brasileiro-a,2017,37,26-11,Ponte Preta,Vitória,2,3,VISITANTE
97,brasileiro-a,2017,37,25-11,Fluminense,Sport Recife,1,2,VISITANTE
98,brasileiro-a,2017,36,20-11,Avaí,Palmeiras,2,1,MANDANTE
99,brasileiro-a,2017,36,20-11,Fluminense,Ponte Preta,2,0,MANDANTE
100,brasileiro-a,2017,36,19-11,Atlético-MG,Coritiba,3,0,MANDANTE
101,brasileiro-a,2017,36,19-11,Atlético-PR,Vasco,3,1,MANDANTE
102,brasileiro-a,2017,36,19-11,Santos,Grêmio,1,0,MANDANTE
103,brasileiro-a,2017,36,19-11,Atlético-GO,Chapecoense,1,1,EMPATE
104,brasileiro-a,2017,36,19-11,Flamengo,Corinthians,3,0,MANDANTE
105,brasileiro-a,2017,36,19-11,São Paulo,Botafogo,0,0,EMPATE
106,brasileiro-a,2017,36,19-11,Sport Recife,Bahia,1,0,MANDANTE
107,brasileiro-a,2017,36,19-11,Vitória,Cruzeiro,1,1,EMPATE
108,brasileiro-a,2017,35,16-11,Bahia,Santos,3,1,MANDANTE
109,brasileiro-a,2017,35,16-11,Coritiba,Flamengo,1,0,MANDANTE
110,brasileiro-a,2017,35,16-11,Botafogo,Atlético-GO,1,2,VISITANTE
