mandante,visitante,placar
Atlético-PR,Santos,
Corinthians,América-MG,
Flamengo,Bahia,
Cruzeiro,Palmeiras,
Grêmio,Fluminense,
Chapecoense,Ceará,
São Paulo,Botafogo,
Sport Recife,Atlético-MG,
Vasco,Paraná,
Vitória,Internacional,
