,Unnamed: 0,campeonato,ano,rodada,data,mandante,visitante,gols_mandante,gols_visitante,resultado,posicao_m,posicao_v,aproveitamento_5r_v,aproveitamento_5r_m,aproveitamento_10r_v,aproveitamento_10r_m
45,45,brasileiro-a,2018,3,29-04,Palmeiras,Chapecoense,0,0,EMPATE,7.0,16.0,0.33,1.0,0.33,1.0
46,46,brasileiro-a,2018,3,29-04,Paraná,Sport Recife,1,2,VISITANTE,20.0,14.0,0.33,0.0,0.33,0.0
47,47,brasileiro-a,2018,3,28-04,Botafogo,Grêmio,2,1,MANDANTE,6.0,12.0,0.33,0.33,0.33,0.33
48,48,brasileiro-a,2018,2,23-04,Sport Recife,Botafogo,1,1,EMPATE,17.0,14.0,0.0,0.0,0.0,0.0
49,49,brasileiro-a,2018,2,22-04,Grêmio,Atlético-PR,0,0,EMPATE,7.0,2.0,0.0,0.0,0.0,0.0
50,50,brasileiro-a,2018,2,22-04,Atlético-MG,Vitória,2,1,MANDANTE,11.0,15.0,0.0,0.0,0.0,0.0
51,51,brasileiro-a,2018,2,22-04,Ceará,São Paulo,0,0,EMPATE,16.0,6.0,0.0,0.0,0.0,0.0
52,52,brasileiro-a,2018,2,22-04,Chapecoense,Vasco,1,1,EMPATE,18.0,4.0,0.0,0.0,0.0,0.0
53,53,brasileiro-a,2018,2,22-04,Fluminense,Cruzeiro,1,0,MANDANTE,12.0,19.0,0.0,0.0,0.0,0.0
54,54,brasileiro-a,2018,2,22-04,Palmeiras,Internacional,1,0,MANDANTE,5.0,9.0,0.0,0.0,0.0,0.0
55,55,brasileiro-a,2018,2,22-04,Paraná,Corinthians,0,4,VISITANTE,20.0,1.0,0.0,0.0,0.0,0.0
56,56,brasileiro-a,2018,2,21-04,Flamengo,América-MG,2,0,MANDANTE,3.0,8.0,0.0,0.0,0.0,0.0
57,57,brasileiro-a,2018,2,21-04,Bahia,Santos,1,0,MANDANTE,13.0,10.0,0.0,0.0,0.0,0.0
58,58,brasileiro-a,2018,1,16-04,Botafogo,Palmeiras,1,1,EMPATE,12.0,11.0,0.0,0.0,0.0,0.0
59,59,brasileiro-a,2018,1,16-04,São Paulo,Paraná,1,0,MANDANTE,7.0,15.0,0.0,0.0,0.0,0.0
60,60,brasileiro-a,2018,1,15-04,Atlético-PR,Chapecoense,5,1,MANDANTE,1.0,20.0,0.0,0.0,0.0,0.0
61,61,brasileiro-a,2018,1,15-04,Corinthians,Fluminense,2,1,MANDANTE,5.0,14.0,0.0,0.0,0.0,0.0
62,62,brasileiro-a,2018,1,15-04,Internacional,Bahia,2,0,MANDANTE,3.0,17.0,0.0,0.0,0.0,0.0
63,63,brasileiro-a,2018,1,15-04,Vasco,Atlético-MG,2,1,MANDANTE,6.0,13.0,0.0,0.0,0.0,0.0
64,64,brasileiro-a,2018,1,15-04,América-MG,Sport Recife,3,0,MANDANTE,2.0,19.0,0.0,0.0,0.0,0.0
65,65,brasileiro-a,2018,1,14-04,Santos,Ceará,2,0,MANDANTE,4.0,18.0,0.0,0.0,0.0,0.0
66,66,brasileiro-a,2018,1,14-04,Vitória,Flamengo,2,2,EMPATE,9.0,10.0,0.0,0.0,0.0,0.0
67,67,brasileiro-a,2018,1,14-04,Cruzeiro,Grêmio,0,1,VISITANTE,16.0,8.0,0.0,0.0,0.0,0.0
68,68,brasileiro-a,2017,38,03-12,Atlético-GO,Fluminense,1,1,EMPATE,20.0,14.0,0.27,0.53,0.47,0.3
69,69,brasileiro-a,2017,38,03-12,Atlético-MG,Grêmio,4,3,MANDANTE,9.0,4.0,0.53,0.6,0.53,0.47
70,70,brasileiro-a,2017,38,03-12,Atlético-PR,Palmeiras,3,0,MANDANTE,11.0,2.0,0.6,0.4,0.63,0.43
71,71,brasileiro-a,2017,38,03-12,Botafogo,Cruzeiro,2,2,EMPATE,10.0,5.0,0.33,0.27,0.4,0.3
72,72,brasileiro-a,2017,38,03-12,Chapecoense,Coritiba,2,1,MANDANTE,8.0,17.0,0.33,0.73,0.5,0.63
73,73,brasileiro-a,2017,38,03-12,Santos,Avaí,1,1,EMPATE,3.0,18.0,0.47,0.4,0.4,0.47
74,74,brasileiro-a,2017,38,03-12,São Paulo,Bahia,1,1,EMPATE,13.0,12.0,0.47,0.4,0.57,0.6
75,75,brasileiro-a,2017,38,03-12,Sport Recife,Corinthians,1,0,MANDANTE,15.0,1.0,0.67,0.4,0.47,0.3
76,76,brasileiro-a,2017,38,03-12,Vasco,Ponte Preta,2,1,MANDANTE,7.0,19.0,0.27,0.53,0.23,0.57
77,77,brasileiro-a,2017,38,03-12,Vitória,Flamengo,1,2,VISITANTE,16.0,6.0,0.4,0.53,0.43,0.37
78,78,brasileiro-a,2017,37,27-11,Palmeiras,Botafogo,2,0,MANDANTE,2.0,8.0,0.27,0.4,0.4,0.57
79,79,brasileiro-a,2017,37,26-11,Bahia,Chapecoense,0,1,VISITANTE,11.0,9.0,0.6,0.67,0.53,0.6
80,80,brasileiro-a,2017,37,26-11,Flamengo,Santos,1,2,VISITANTE,6.0,4.0,0.4,0.4,0.4,0.47
81,81,brasileiro-a,2017,37,26-11,Avaí,Atlético-PR,1,0,MANDANTE,18.0,13.0,0.4,0.27,0.47,0.3
82,82,brasileiro-a,2017,37,26-11,Corinthians,Atlético-MG,2,2,EMPATE,1.0,10.0,0.53,0.8,0.53,0.53
83,83,brasileiro-a,2017,37,26-11,Coritiba,São Paulo,1,2,VISITANTE,16.0,12.0,0.4,0.53,0.5,0.5
84,84,brasileiro-a,2017,37,26-11,Cruzeiro,Vasco,0,1,VISITANTE,5.0,7.0,0.4,0.53,0.57,0.5
85,85,brasileiro-a,2017,37,26-11,Grêmio,Atlético-GO,1,1,EMPATE,3.0,20.0,0.47,0.67,0.3,0.5
86,86,brasileiro-a,2017,37,26-11,Ponte Preta,Vitória,2,3,VISITANTE,19.0,15.0,0.4,0.27,0.27,0.27
87,87,brasileiro-a,2017,37,25-11,Fluminense,Sport Recife,1,2,VISITANTE,14.0,17.0,0.27,0.47,0.3,0.5
88,88,brasileiro-a,2017,36,20-11,Avaí,Palmeiras,2,1,MANDANTE,19.0,3.0,0.47,0.13,0.57,0.2
89,89,brasileiro-a,2017,36,20-11,Fluminense,Ponte Preta,2,0,MANDANTE,14.0,17.0,0.47,0.33,0.37,0.4
90,90,brasileiro-a,2017,36,19-11,Atlético-MG,Coritiba,3,0,MANDANTE,8.0,15.0,0.73,0.4,0.53,0.53
91,91,brasileiro-a,2017,36,19-11,Atlético-PR,Vasco,3,1,MANDANTE,11.0,9.0,0.47,0.27,0.6,0.37
